Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,69938.7,70278.7,71598.4,66834,454.96K,-0.49%
2024-01-10,70281.8,63329.9,73569.4,59075.7,2.56M,10.96%
2024-01-09,63339.2,58975.7,66440.7,52644.6,2.34M,7.39%
2024-01-08,58978.6,64625.7,65587.9,49486.9,2.56M,-8.74%
2024-01-07,64626,62768.8,70000.2,53883.4,2.06M,2.98%
2024-01-06,62754.3,67533.9,71956.5,58589.9,1.60M,-7.07%
2024-01-05,67530.1,60665,71872,56643.5,2.10M,11.31%
2024-01-04,60666.6,71329.3,72710.8,59228.7,2.66M,-14.95%
2024-01-03,71332,61157.3,73740.9,60138.2,2.70M,16.61%
2024-01-02,61169.3,42580.1,63915.3,41890.5,1.74M,43.66%
2024-01-01,42580.5,42272.5,48923.7,38546.9,2.03M,0.73%
2023-01-12,42272.5,37712.9,44697.6,37618.3,1.63M,12.09%
2023-01-11,37712.9,34648.3,38400.8,34124.2,1.48M,8.84%
2023-01-10,34650.6,26962.5,35191.4,26558.4,1.61M,28.51%
2023-01-09,26962.7,25938.3,27480.7,24923.1,1.15M,3.95%
2023-01-08,25937.3,29232.3,30168.6,25481.9,1.34M,-11.27%
2023-01-07,29232.4,30472.9,31764.5,28890.7,1.23M,-4.07%
2023-01-06,30472.9,27216.4,31395.4,24838,1.77M,11.97%
2023-01-05,27216.1,29252.1,29816.4,25853.1,1.66M,-6.96%
2023-01-04,29252.1,28473.7,30964.9,27054.3,2.03M,2.73%
2023-01-03,28473.7,23130.6,29160.4,19591.8,10.26M,23.10%
2023-01-02,23130.5,23124.7,25236.8,21418.7,9.09M,0.02%
2023-01-01,23125.1,16537.5,23952.9,16499.7,8.98M,39.83%
2022-01-12,16537.4,17163.4,18351.8,16331.2,6.61M,-3.65%
2022-01-11,17163.9,20496.1,21464.7,15504.2,10.30M,-16.26%
2022-01-10,20496.3,19422.9,21038.1,18207.9,8.29M,5.53%
2022-01-09,19423,20049.9,22702.5,18191.8,10.91M,-3.10%
2022-01-08,20043.9,23303.4,25205.7,19542.9,6.55M,-13.99%
2022-01-07,23303.4,19926.6,24605.3,18794.4,5.79M,16.95%
2022-01-06,19926.6,31793.1,31969.9,17630.5,3.79M,-37.32%
2022-01-05,31793.4,37642,40021,26500.5,4.67B,-15.56%
2022-01-04,37650,45529,47435,37596,12.14B,-17.30%
2022-01-03,45525,43187.2,48199,37182.1,43.70B,5.41%
2022-01-02,43188.2,38475.6,45755.2,34357.4,1.82M,12.18%
2022-01-01,38498.6,46217.5,47944.9,32985.6,2.03M,-16.70%
2021-01-12,46219.5,56891.7,59064.3,42587.8,1.90M,-18.75%
2021-01-11,56882.9,61310.1,68990.6,53448.3,1.85M,-7.22%
2021-01-10,61309.6,43824.4,66967.1,43292.9,2.18M,39.90%
2021-01-09,43823.3,47129.2,52885.3,39646.8,2.21M,-7.02%
2021-01-08,47130.4,41510,50498.8,37365.4,2.14M,13.42%
2021-01-07,41553.7,35030.7,42285.3,29310.2,2.44M,18.63%
2021-01-06,35026.9,37294.3,41318,28901.8,4.14M,-6.09%
2021-01-05,37298.6,57719.1,59523.9,30261.7,5.33M,-35.38%
2021-01-04,57720.3,58763.2,64778,47098.5,2.97M,-1.78%
2021-01-03,58763.7,45160.5,61795.8,45008.8,3.01M,30.11%
2021-01-02,45164,33106.8,58335.1,32324.9,4.01M,36.41%
2021-01-01,33108.1,28951.7,41921.7,28204.5,5.50M,14.37%
2020-01-12,28949.4,19697.8,29298.8,17600.1,3.85M,46.97%
2020-01-11,19698.1,18394.6,19831.2,16235.2,4.05M,42.77%
2020-01-10,13797.3,10776.6,14065.4,10387.6,2.41M,28.04%
2020-01-09,10776.1,11644.2,12045.9,9877.1,83.88M,-7.46%
2020-01-08,11644.2,11333.2,12444.1,10730.7,15.39M,2.74%
2020-01-07,11333.4,10961.1,11434.8,10771.8,13.21M,24.06%
2020-01-06,9135.4,9454.5,10301.8,8865.3,15.35M,-3.38%
2020-01-05,9454.8,8628.6,10033,8235.6,38.48M,9.57%
2020-01-04,8629,6412.4,9437.5,6157.4,39.41M,34.56%
2020-01-03,6412.5,8543.8,9180.8,3869.5,48.24M,-24.94%
2020-01-02,8543.7,9349.3,10482.6,8543.7,23.76M,-8.62%
2020-01-01,9349.1,7196.4,9569,6884.1,23.56M,29.91%
2019-01-12,7196.4,7546.5,7702.2,6462.2,21.03M,-4.64%
2019-01-11,7546.6,9153.1,9500.4,6534.8,21.33M,-17.55%
2019-01-10,9152.6,8285,10540,7329.2,19.93M,10.48%
2019-01-09,8284.3,9594.7,10896.2,7749,13.58M,-13.65%
2019-01-08,9594.4,10081.9,12291.9,9343,17.53M,-4.84%
2019-01-07,10082,10821.4,13134.4,9082.6,23.61M,-6.81%
2019-01-06,10818.6,8556.9,13929.8,7480.4,22.96M,26.41%
2019-01-05,8558.3,5321.1,9045.9,5319.5,44.06M,60.85%
2019-01-04,5320.8,4102.3,5594.4,4076.8,54.03M,29.70%
2019-01-03,4102.3,3816.7,4138.1,3681.8,81.62M,7.49%
2019-01-02,3816.6,3437.7,4194.2,3382.5,23.13M,11.04%
2019-01-01,3437.2,3709.5,4070.5,3368.2,15.72M,-7.34%
2018-01-12,3709.4,4038.7,4316.1,3177,15.70M,-8.18%
2018-01-11,4039.7,6365.9,6594.3,3634.2,8.71M,-36.54%
2018-01-10,6365.9,6635.2,7358.4,6034.9,58.80M,-4.06%
2018-01-09,6635.2,7032.4,7409.9,5977,154.15M,-5.67%
2018-01-08,7033.8,7728.5,7753.2,5898.3,63.25M,-9.00%
2018-01-07,7729.4,6398.5,8484.6,6398.5,7.06M,20.79%
2018-01-06,6398.9,7502.5,7775,5785.3,4.78M,-14.71%
2018-01-05,7502.6,9245.1,9992.8,7069.8,5.04M,-18.85%
2018-01-04,9245.1,6939.1,9753.1,6460.1,6.22M,33.25%
2018-01-03,6938.2,10335.1,11506.9,6603.8,7.61M,-32.86%
2018-01-02,10333.9,10266.2,11791.5,5996.6,8.54M,0.67%
2018-01-01,10265.4,13850.5,17252.8,9271.3,4.84M,-25.88%
